"","Pick","ADP.WAV.S","ADP_WAV","griddyav","wav2022","wav2021","wav2020","wav2019","wav2018","drafted_2022","drafted_2021","drafted_2020","drafted_2019"
"1",1,12.87,128.7,386.1,128.7,102.96,77.22,51.48,25.74,257.4,154.44,77.22,25.74
"2",2,10.75,107.5,322.5,107.5,86,64.5,43,21.5,215,129,64.5,21.5
"3",3,10.16,101.6,304.8,101.6,81.28,60.96,40.64,20.32,203.2,121.92,60.96,20.32
"4",4,9.74,97.4,292.2,97.4,77.92,58.44,38.96,19.48,194.8,116.88,58.44,19.48
"5",5,9.43,94.3,282.9,94.3,75.44,56.58,37.72,18.86,188.6,113.16,56.58,18.86
"6",6,9.07,90.7,272.1,90.7,72.56,54.42,36.28,18.14,181.4,108.84,54.42,18.14
"7",7,8.83,88.3,264.9,88.3,70.64,52.98,35.32,17.66,176.6,105.96,52.98,17.66
"8",8,8.44,84.4,253.2,84.4,67.52,50.64,33.76,16.88,168.8,101.28,50.64,16.88
"9",9,8.2,82,246,82,65.6,49.2,32.8,16.4,164,98.4,49.2,16.4
"10",10,8.03,80.3,240.9,80.3,64.24,48.18,32.12,16.06,160.6,96.36,48.18,16.06
"11",11,7.9,79,237,79,63.2,47.4,31.6,15.8,158,94.8,47.4,15.8
"12",12,7.46,74.6,223.8,74.6,59.68,44.76,29.84,14.92,149.2,89.52,44.76,14.92
"13",13,7.34,73.4,220.2,73.4,58.72,44.04,29.36,14.68,146.8,88.08,44.04,14.68
"14",14,7.25,72.5,217.5,72.5,58,43.5,29,14.5,145,87,43.5,14.5
"15",15,7.04,70.4,211.2,70.4,56.32,42.24,28.16,14.08,140.8,84.48,42.24,14.08
"16",16,6.93,69.3,207.9,69.3,55.44,41.58,27.72,13.86,138.6,83.16,41.58,13.86
"17",17,6.77,67.7,203.1,67.7,54.16,40.62,27.08,13.54,135.4,81.24,40.62,13.54
"18",18,6.56,65.6,196.8,65.6,52.48,39.36,26.24,13.12,131.2,78.72,39.36,13.12
"19",19,6.49,64.9,194.7,64.9,51.92,38.94,25.96,12.98,129.8,77.88,38.94,12.98
"20",20,6.39,63.9,191.7,63.9,51.12,38.34,25.56,12.78,127.8,76.68,38.34,12.78
"21",21,6.34,63.4,190.2,63.4,50.72,38.04,25.36,12.68,126.8,76.08,38.04,12.68
"22",22,6.28,62.8,188.4,62.8,50.24,37.68,25.12,12.56,125.6,75.36,37.68,12.56
"23",23,6.13,61.3,183.9,61.3,49.04,36.78,24.52,12.26,122.6,73.56,36.78,12.26
"24",24,6.05,60.5,181.5,60.5,48.4,36.3,24.2,12.1,121,72.6,36.3,12.1
"25",25,6.01,60.1,180.3,60.1,48.08,36.06,24.04,12.02,120.2,72.12,36.06,12.02
"26",26,5.92,59.2,177.6,59.2,47.36,35.52,23.68,11.84,118.4,71.04,35.52,11.84
"27",27,5.82,58.2,174.6,58.2,46.56,34.92,23.28,11.64,116.4,69.84,34.92,11.64
"28",28,5.77,57.7,173.1,57.7,46.16,34.62,23.08,11.54,115.4,69.24,34.62,11.54
"29",29,5.67,56.7,170.1,56.7,45.36,34.02,22.68,11.34,113.4,68.04,34.02,11.34
"30",30,5.6,56,168,56,44.8,33.6,22.4,11.2,112,67.2,33.6,11.2
"31",31,5.56,55.6,166.8,55.6,44.48,33.36,22.24,11.12,111.2,66.72,33.36,11.12
