,Player,Draft_Year,Pick_Number,Weighted Griddy AV
1,Eli Manning,2004,1,36
2,Alex Smith,2005,1,18
3,Matthew Stafford,2009,1,320
4,Sam Bradford,2010,1,2
5,Cam Newton,2011,1,128
6,Terrelle Pryor,2011,1,4
7,Andrew Luck,2012,1,32
8,Josh Gordon,2012,1,26
9,Eric Fisher,2013,1,176
10,Jadeveon Clowney,2014,1,154
11,Jameis Winston,2015,1,138
12,Jared Goff,2016,1,384
13,Myles Garrett,2017,1,404
14,Adonis Alexander,2018,1,2
15,Baker Mayfield,2018,1,288
16,Sam Beal,2018,1,4
17,Jalen Thompson,2019,1,124
18,Kyler Murray,2019,1,360
19,Joe Burrow,2020,1,332
20,Trevor Lawrence,2021,1,196
21,Travon Walker,2022,1,60
22,Julius Peppers,2002,2,8
23,Chris Long,2008,2,4
24,Ndamukong Suh,2010,2,164
25,Von Miller,2011,2,194
26,Robert Griffin III,2012,2,14
27,Greg Robinson,2014,2,32
28,Marcus Mariota,2015,2,154
29,Carson Wentz,2016,2,248
30,Mitchell Trubisky,2017,2,140
31,Saquon Barkley,2018,2,220
32,Nick Bosa,2019,2,330
33,Chase Young,2020,2,116
34,Zach Wilson,2021,2,80
35,Aidan Hutchinson,2022,2,80
36,Larry Fitzgerald,2004,3,62
37,Matt Ryan,2008,3,312
38,Gerald McCoy,2010,3,36
39,Marcell Dareus,2011,3,24
40,Dion Jordan,2013,3,22
41,Blake Bortles,2014,3,12
42,Dante Fowler,2015,3,116
43,Joey Bosa,2016,3,202
44,Solomon Thomas,2017,3,24
45,Sam Darnold,2018,3,150
46,Quinnen Williams,2019,3,274
47,Jeff Okudah,2020,3,62
48,Trey Lance,2021,3,34
49,Derek Stingley Jr.,2022,3,30
50,Philip Rivers,2004,4,158
51,Trent Williams,2010,4,324
52,A.J. Green,2011,4,120
53,Lane Johnson,2013,4,302
54,Sammy Watkins,2014,4,118
55,Amari Cooper,2015,4,272
56,Ezekiel Elliott,2016,4,240
57,Leonard Fournette,2017,4,218
58,Denzel Ward,2018,4,184
59,Clelin Ferrell,2019,4,76
60,Andrew Thomas,2020,4,196
61,Kyle Pitts,2021,4,104
62,Sauce Gardner,2022,4,140
63,Eric Berry,2010,5,0
64,Patrick Peterson,2011,5,178
65,Ezekiel Ansah,2013,5,12
66,Khalil Mack,2014,5,296
67,Brandon Scherff,2015,5,212
68,Jalen Ramsey,2016,5,338
69,Corey Davis,2017,5,172
70,Bradley Chubb,2018,5,186
71,Devin White,2019,5,304
72,Tua Tagovailoa,2020,5,206
73,Ja'Marr Chase,2021,5,214
74,Kayvon Thibodeaux,2022,5,70
75,Adam Jones,2005,6,2
76,Vernon Davis,2006,6,10
77,Andre Smith,2009,6,14
78,Russell Okung,2010,6,52
79,Julio Jones,2011,6,160
80,Morris Claiborne,2012,6,16
81,Barkevious Mingo,2013,6,36
82,Jake Matthews,2014,6,246
83,Leonard Williams,2015,6,220
84,Ronnie Stanley,2016,6,158
85,Jamal Adams,2017,6,170
86,Quenton Nelson,2018,6,316
87,Daniel Jones,2019,6,296
88,Justin Herbert,2020,6,362
89,Jaylen Waddle,2021,6,176
90,Ikem Ekwonu,2022,6,70
91,Adrian Peterson,2007,7,76
92,Joe Haden,2010,7,124
93,Aldon Smith,2011,7,48
94,Mark Barron,2012,7,34
95,Jonathan Cooper,2013,7,4
96,Mike Evans,2014,7,254
97,Kevin White,2015,7,2
98,DeForest Buckner,2016,7,326
99,Mike Williams,2017,7,238
100,Josh Allenqb,2018,7,516
101,Josh Allen,2019,7,178
102,Derrick Brown,2020,7,164
103,Penei Sewell,2021,7,186
104,Evan Neal,2022,7,60
105,Ryan Tannehill,2012,8,336
106,Tavon Austin,2013,8,20
107,Vic Beasley,2015,8,36
108,Jack Conklin,2016,8,220
109,Christian McCaffrey,2017,8,300
110,Roquan Smith,2018,8,388
111,T.J. Hockenson,2019,8,168
112,Isaiah Simmons,2020,8,146
113,Jaycee Horn,2021,8,58
